PNR,HFAUDD,year
47273410,8322,2015
60838424,5658,2015
76422755,5168,2015
87868298,5741,2015
87252759,3101,2015
83115942,8901,2015
64689072,0159,2015
11876545,8094,2015
02733162,5189,2015
58594979,3317,2015
47927432,0600,2015
55982132,8818,2015
95762778,7929,2015
13727818,8995,2015
49727431,8884,2015
05439870,8861,2015
32847760,3223,2015
40491830,8316,2015
04516965,9264,2015
64290541,8904,2015
67129637,7160,2015
70463785,9391,2015
71973947,5400,2015
65515952,6718,2015
23642225,8933,2015
60797255,9391,2015
05038089,8822,2015
16786357,5615,2015
44958976,7145,2015
30801261,3331,2015
00785054,8914,2015
17835800,5365,2015
83962304,5535,2015
94598152,0721,2015
40200866,6829,2015
34823017,0600,2015
25062440,8807,2015
39981051,8314,2015
10094317,5276,2015
39846504,0726,2015
83604456,3028,2015
70102761,6991,2015
47715976,8838,2015
92711999,9047,2015
12236397,7090,2015
75782802,9122,2015
15991823,8118,2015
66197160,9687,2015
34274601,0176,2015
80442881,9465,2015
05457932,5450,2015
32664952,5657,2015
18091923,6880,2015
25521595,8813,2015
24300646,7934,2015
84765423,7133,2015
18291596,8263,2015
42510327,5713,2015
21574088,9390,2015
87438164,5597,2015
82205978,8852,2015
66540472,5792,2015
71912843,8311,2015
42223837,8995,2015
49997837,8118,2015
60993945,6296,2015
88631712,3024,2015
94607542,9477,2015
25730269,7365,2015
32849609,8906,2015
81671626,5508,2015
03565005,8554,2015
40588538,5962,2015
87984657,7952,2015
80938880,8150,2015
81227946,0179,2015
34690296,0172,2015
07646897,6825,2015
95188793,9041,2015
31838922,5823,2015
14441877,3326,2015
58300431,5695,2015
05914484,6270,2015
32337833,8863,2015
59585766,5245,2015
76382234,3048,2015
85187672,6991,2015
49905964,8366,2015
91643634,5435,2015
71137795,9430,2015
39831757,8228,2015
27217815,3102,2015
62327021,8820,2015
68318471,6420,2015
10133704,5477,2015
88726452,9430,2015
78287638,6818,2015
70893972,9400,2015
27596020,3091,2015
98518012,5226,2015
62154702,5704,2015
89416890,3147,2015
21683677,8306,2015
21199514,8018,2015
56974620,3330,2015
56178593,3119,2015
02427074,8234,2015
36738490,8019,2015
98734663,5257,2015
97269777,6740,2015
93800958,9225,2015
24044854,0695,2015
79983218,6421,2015
13409983,6396,2015
85265381,5589,2015
47159650,8416,2015
85687675,8275,2015
64286927,0175,2015
20163524,8322,2015
03444916,5211,2015
77328133,0176,2015
22010291,3109,2015
25511326,3311,2015
12110632,8846,2015
89675599,5427,2015
53471916,6456,2015
09055501,3109,2015
73297978,8820,2015
82317853,5849,2015
27274247,8897,2015
11275246,9390,2015
92571075,8320,2015
05464023,9514,2015
69885397,5403,2015
30810523,3086,2015
65703290,8290,2015
69496161,3109,2015
33081944,9264,2015
98443770,7952,2015
59616721,7950,2015
53746308,7030,2015
57902672,3078,2015
27873954,5741,2015
03620325,8891,2015
31053034,6804,2015
15870582,3330,2015
02491218,6825,2015
67927970,3106,2015
34434807,8263,2015
13797674,6105,2015
12599748,8864,2015
67751021,6546,2015
65200035,5964,2015
62918898,6424,2015
22443770,8116,2015
99285439,8134,2015
11307473,8333,2015
63392906,6494,2015
00745078,3139,2015
11992063,9481,2015
40004298,8864,2015
51870267,8364,2015
25412915,8907,2015
60361591,3314,2015
54886634,7065,2015
40543097,8892,2015
87153022,8841,2015
36757989,7906,2015
30367972,6820,2015
21288258,5812,2015
16738404,7190,2015
43608700,5756,2015
12069921,0726,2015
62033945,5508,2015
02320585,8081,2015
19504206,7427,2015
70773755,8812,2015
44339743,6457,2015
48209813,3077,2015
13318123,8897,2015
91675275,9404,2015
45330121,8370,2015
05242233,8095,2015
49692914,7943,2015
14942345,9668,2015
80443631,8861,2015
62328858,8931,2015
54534480,5254,2015
32676631,3345,2015
10708819,6766,2015
86388549,8839,2015
63750284,0729,2015
17942249,6510,2015
51354346,5788,2015
60025729,7954,2015
47844267,9668,2015
38756837,6650,2015
05564168,3120,2015
75142822,8969,2015
72640279,6263,2015
68635788,8972,2015
64997119,8634,2015
49077752,5822,2015
42782930,3078,2015
35297002,7230,2015
42146432,8913,2015
88854119,8132,2015
29446986,0721,2015
50032128,3311,2015
03386088,3224,2015
21014120,7138,2015
71888252,8913,2015
06725727,6714,2015
39061780,5451,2015
72016779,3047,2015
39384906,7070,2015
11039855,0620,2015
91070596,9052,2015
78122714,8140,2015
47416467,3224,2015
69776448,8524,2015
00482086,8912,2015
07707737,3104,2015
92842364,5508,2015
48794141,8079,2015
79645804,5849,2015
70341455,8366,2015
66860780,8073,2015
39402409,6270,2015
23348502,0729,2015
60402535,8375,2015
34530402,0726,2015
44020362,3028,2015
54229802,7851,2015
55094395,7853,2015
03104815,0600,2015
68375444,5823,2015
82644837,5844,2015
06239838,5667,2015
65395270,8901,2015
17748030,8838,2015
10101830,5615,2015
87519346,3330,2015
22728080,7065,2015
29305820,7932,2015
25398005,8916,2015
42769531,6021,2015
11254352,7362,2015
07186819,7133,2015
68817891,5462,2015
25997758,5365,2015
19053760,8375,2015
66424509,8903,2015
24166829,5687,2015
80043822,7030,2015
68185212,3016,2015
68548985,8228,2015
15962363,3020,2015
32542755,8336,2015
68633300,8366,2015
13633961,8969,2015
56403629,6103,2015
99394928,5758,2015
28649470,8275,2015
09620221,8955,2015
35294003,5616,2015
65843519,8807,2015
82091619,3160,2015
59055054,5702,2015
30074352,6115,2015
14782562,0170,2015
75546089,8620,2015
82607621,5500,2015
22740891,3614,2015
98911351,9518,2015
34719948,3125,2015
12729166,9035,2015
61588843,7030,2015
95542577,6125,2015
00005562,3104,2015
85938519,3019,2015
27840460,9574,2015
05644288,8076,2015
19267577,9487,2015
61317060,9430,2015
57743325,8020,2015
79316460,8811,2015
91804594,7101,2015
00635985,8337,2015
88515448,5190,2015
93578440,8081,2015
51614729,5476,2015
31164484,8364,2015
84234208,9686,2015
90947139,5949,2015
77104711,9469,2015
36205509,5714,2015
35523625,8813,2015
04727674,5907,2015
75642653,3307,2015
05162780,5592,2015
04973717,7232,2015
97508724,8995,2015
58495440,3078,2015
80993692,6714,2015
56656209,5823,2015
23249347,0695,2015
36836512,6401,2015
34826069,8902,2015
52102945,5385,2015
34839871,5788,2015
74691571,8019,2015
00677380,8076,2015
54679796,3172,2015
45507650,8555,2015
36595735,8511,2015
91167574,9465,2015
20308512,9414,2015
13369286,7065,2015
06896645,3060,2015
54837149,6266,2015
83509329,8039,2015
45238247,6839,2015
26064439,8812,2015
68996116,5245,2015
08080490,8415,2015
37532196,9556,2015
82910471,8861,2015
96500982,3103,2015
50815267,8041,2015
92884604,5551,2015
32495056,8306,2015
50689675,7065,2015
81202991,8906,2015
02295079,9504,2015
10500476,3104,2015
49127541,5534,2015
85659553,9038,2015
04070296,8092,2015
32850085,5210,2015
56899738,3099,2015
19797695,5907,2015
93289818,5427,2015
30998902,5431,2015
01869710,3224,2015
99512904,8896,2015
49756256,8381,2015
96853558,0726,2015
50156042,8586,2015
19619669,0176,2015
03718505,5823,2015
53848693,5788,2015
35282997,8828,2015
60728549,7160,2015
92464112,6267,2015
02375311,8228,2015
14070711,3345,2015
19765509,6322,2015
42491318,8205,2015
10585362,6147,2015
36533088,8835,2015
